led,t,deltat,AcX,AcY,AcZ,GravX,GravY,GravZ,QuatW,QuatX,QuatY,QuatZ,OrX,OrY,OrZ,GyX,GyY,GyZ
0,8152,50,0.22,-0.50,-0.42,-2.48,2.25,9.21,0.98474,0.11615,0.12933,0.00378,359.56,-14.63,-13.75,-0.01,0.05,-0.00
0,8202,50,-0.06,0.46,-1.57,-2.49,2.26,9.21,0.98468,0.11652,0.12958,0.00385,359.50,-14.63,-13.69,-0.07,0.03,0.00
0,8252,50,0.66,-0.17,-0.71,-2.50,2.24,9.21,0.98474,0.11572,0.12994,0.00415,359.50,-14.69,-13.69,-0.01,-0.06,0.03
0,8302,50,0.59,-0.71,0.23,-2.51,2.22,9.21,0.98474,0.11487,0.13086,0.00446,359.44,-14.81,-13.63,0.02,0.06,0.00
0,8352,50,-0.08,-0.20,-0.64,-2.52,2.21,9.21,0.98474,0.11414,0.13116,0.00476,359.44,-14.81,-13.56,-0.04,0.02,0.02
0,8402,50,1.17,-1.68,-0.26,-2.51,2.21,9.21,0.98480,0.11389,0.13098,0.00500,359.38,-14.88,-13.50,-0.05,0.05,0.02
0,8452,50,0.96,0.15,-1.16,-2.52,2.20,9.21,0.98480,0.11346,0.13147,0.00507,359.38,-14.94,-13.38,-0.12,0.01,0.01
0,8502,50,-0.20,-0.81,-0.19,-2.53,2.19,9.21,0.98480,0.11273,0.13202,0.00525,359.38,-14.94,-13.38,0.01,0.06,-0.00
0,8552,50,0.94,-0.57,0.63,-2.52,2.19,9.21,0.98486,0.11310,0.13135,0.00525,359.38,-14.88,-13.38,0.08,-0.05,0.00
0,8602,50,0.84,0.84,-1.12,-2.52,2.21,9.21,0.98480,0.11389,0.13116,0.00519,359.38,-14.88,-13.38,0.04,-0.10,0.01
0,8652,50,-0.27,-1.17,-0.54,-2.52,2.24,9.20,0.98462,0.11554,0.13110,0.00507,359.38,-14.81,-13.56,0.12,-0.06,-0.00
0,8702,50,0.13,-0.42,0.29,-2.50,2.29,9.20,0.98444,0.11816,0.13019,0.00470,359.44,-14.69,-13.88,0.17,-0.02,-0.00
